"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b[60] Eastchester",0.0659619031529857,0.06951665,0.0721933476245017,1000008,0.95,-0.22978,0.363315,NA,NA,NA,NA,NA,NA,NA
"b[61] Edenwald",-0.066665692361763,-0.0657381,-0.0676346144442042,1000008,0.95,-0.307099,0.174547,NA,NA,NA,NA,NA,NA,NA
"b[62] Edgemere",0.212526027783456,0.215198,0.218702614872801,997009.9,0.95,-0.147223,0.568028,NA,NA,NA,NA,NA,NA,NA
"b[63] Elmhurst",-0.334135940372877,-0.334396,-0.338668941287582,990809,0.95,-0.448428,-0.21931,NA,NA,NA,NA,NA,NA,NA
"b[64] Eltingville",-0.0223448753444527,-0.02451585,-0.0329577401656895,971236.3,0.95,-0.415681,0.376949,NA,NA,NA,NA,NA,NA,NA
"b[65] Emerson Hill",-0.156309940639997,-0.1570965,-0.16699164298835,988032.4,0.95,-0.539876,0.234843,NA,NA,NA,NA,NA,NA,NA
"b[66] Far Rockaway",-0.0341202824294487,-0.0361597,-0.0468374744239746,1000008,0.95,-0.400615,0.33478,NA,NA,NA,NA,NA,NA,NA
"b[67] Fieldston",-0.105837252341834,-0.104329,-0.100505973028337,1000008,0.95,-0.477768,0.269751,NA,NA,NA,NA,NA,NA,NA
"b[68] Financial District",0.528036351829185,0.528047,0.53032914008593,989429.1,0.95,0.415731,0.641774,NA,NA,NA,NA,NA,NA,NA
"b[69] Flatbush",-0.150661516534618,-0.150616,-0.150730065783041,802266.5,0.95,-0.215279,-0.0856147,NA,NA,NA,NA,NA,NA,NA
"b[70] Flatiron District",0.76083512121203,0.76102,0.754388541964808,1000008,0.95,0.579393,0.943147,NA,NA,NA,NA,NA,NA,NA
"b[71] Flatlands",-0.336570607958052,-0.3375615,-0.344921323205555,993301.5,0.95,-0.512389,-0.156379,NA,NA,NA,NA,NA,NA,NA
"b[72] Flushing",-0.181259546192175,-0.181336,-0.182072164541772,893177.4,0.95,-0.259322,-0.104094,NA,NA,NA,NA,NA,NA,NA
