"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[186] Tribeca",0.53345697375221,0.530895,0.525482107818116,912364.8,0.95,0.446685,0.626655,NA,NA,NA,NA,NA,NA,NA
"ySigma[187] Two Bridges",0.433991540795674,0.4314025,0.428660749926016,995161.7,0.95,0.341715,0.532241,NA,NA,NA,NA,NA,NA,NA
"ySigma[188] University Heights",0.437504353238174,0.434483,0.428770793483963,992055,0.95,0.326167,0.553919,NA,NA,NA,NA,NA,NA,NA
"ySigma[189] Upper East Side",0.408939288858689,0.408557,0.407836703692237,996041,0.95,0.378023,0.440928,NA,NA,NA,NA,NA,NA,NA
"ySigma[190] Upper West Side",0.513887928885569,0.513528,0.512028872363419,975021.1,0.95,0.479854,0.548271,NA,NA,NA,NA,NA,NA,NA
"ySigma[191] Van Nest",0.451974078952368,0.448773,0.441151298772218,982117.6,0.95,0.341214,0.571325,NA,NA,NA,NA,NA,NA,NA
"ySigma[192] Vinegar Hill",0.420559367654059,0.417996,0.412916727156056,993474.8,0.95,0.322473,0.524833,NA,NA,NA,NA,NA,NA,NA
"ySigma[193] Wakefield",0.387445935451516,0.385323,0.384080922550577,975720.5,0.95,0.294482,0.484421,NA,NA,NA,NA,NA,NA,NA
"ySigma[194] Washington Heights",0.450948792178663,0.450378,0.450665213329297,992586.9,0.95,0.41053,0.49228,NA,NA,NA,NA,NA,NA,NA
"ySigma[195] West Brighton",0.43269839253086,0.429834,0.424203082919563,992281.3,0.95,0.325735,0.54332,NA,NA,NA,NA,NA,NA,NA
"ySigma[196] West Village",0.449386690068479,0.4485565,0.447990390451139,981405.2,0.95,0.40091,0.499229,NA,NA,NA,NA,NA,NA,NA
"ySigma[197] Westchester Square",0.413258765188878,0.4108415,0.406132099072343,990357.3,0.95,0.299809,0.531179,NA,NA,NA,NA,NA,NA,NA
"ySigma[198] Whitestone",0.435306777871777,0.432393,0.427405103375172,993017.6,0.95,0.324533,0.54998,NA,NA,NA,NA,NA,NA,NA
"ySigma[199] Williamsbridge",0.414503601826185,0.412027,0.406859581250344,997482.2,0.95,0.318954,0.515796,NA,NA,NA,NA,NA,NA,NA
"ySigma[200] Williamsburg",0.470817644488844,0.470641,0.470129237772957,991760.3,0.95,0.448956,0.492688,NA,NA,NA,NA,NA,NA,NA
"ySigma[201] Willowbrook",0.42043636748106,0.417844,0.41491261567752,994429.3,0.95,0.306319,0.539791,NA,NA,NA,NA,NA,NA,NA
"ySigma[202] Windsor Terrace",0.376946000007,0.375337,0.373240182128194,974681.3,0.95,0.309277,0.445881,NA,NA,NA,NA,NA,NA,NA
"ySigma[203] Woodhaven",0.382655519194846,0.380723,0.376882503956899,965305.8,0.95,0.304605,0.463939,NA,NA,NA,NA,NA,NA,NA
"ySigma[204] Woodlawn",0.429036840724274,0.426127,0.423608282830507,993256.8,0.95,0.315518,0.546907,NA,NA,NA,NA,NA,NA,NA
"ySigma[205] Woodside",0.651747471871225,0.649634,0.640875240455351,819196,0.95,0.562351,0.745297,NA,NA,NA,NA,NA,NA,NA
